aircraft_type,engine_type,mean_CarrierDelay,percentage_delayed_by_CarrierDelay,mean_WeatherDelay,percentage_delayed_by_WeatherDelay,mean_NASDelay,percentage_delayed_by_NASDelay,mean_SecurityDelay,percentage_delayed_by_SecurityDelay,mean_LateAircraftDelay,percentage_delayed_by_LateAircraftDelay
Fixed Wing Multi-Engine,Turbo-Prop,5.52,79.2,0.67,0.83,1.85,2.56,0.03,0.08,3.71,6.28
Rotorcraft,Turbo-Shaft,4.78,71.7,1.1,1.24,5.76,9.79,0.03,0.07,6.12,7.64
Fixed Wing Multi-Engine,Turbo-Jet,4.31,71.19,0.71,0.83,4.65,9.25,0.03,0.07,5.28,8.1
Fixed Wing Single-Engine,Turbo-Prop,3.9,70.71,1.15,1.32,5.37,8.4,0.01,0.03,7.01,9.14
Fixed Wing Multi-Engine,Turbo-Fan,4.1,70.62,0.89,1.01,4.43,7.43,0.03,0.07,5.84,8.87
Fixed Wing Single-Engine,4 Cycle,4.66,69.93,0.83,0.99,5.35,10.36,0.02,0.03,5.71,8.07
Fixed Wing Single-Engine,Reciprocating,4.32,69.18,1.43,1.64,5.66,9.71,0.01,0.02,6.27,8.53
Fixed Wing Multi-Engine,Reciprocating,4.44,68.09,1.06,1.16,5.37,8.92,0.02,0.05,6.67,8.76
Rotorcraft,4 Cycle,1.0,0.0,1.6,2.38,7.5,2.38,0.0,0.0,26.2,19.05
